,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1563144072,93,-53.16,-70.91,35.6,2.24
1,Hobart,40,AU,1563143789,75,-42.88,147.33,48.0,6.93
2,Castro,0,CL,1563144073,81,-42.48,-73.76,44.6,8.05
3,Pangkalanbuun,89,ID,1563144073,92,-2.68,111.62,70.96,2.37
4,Rikitea,70,PF,1563144073,85,-23.12,-134.97,75.1,14.65
5,Mataura,70,NZ,1563144074,93,-46.19,168.86,39.0,4.0
6,Cape Town,0,ZA,1563143813,81,-33.93,18.42,52.0,8.05
7,Smithers,75,CA,1563143934,63,54.78,-127.17,66.2,13.87
8,Ushuaia,20,AR,1563144074,86,-54.81,-68.31,37.4,3.36
9,Kapaa,40,US,1563144075,74,22.08,-159.32,84.2,12.75
10,Torbay,90,CA,1563144075,100,47.66,-52.73,52.0,12.75
11,Nikolskoye,17,RU,1563144075,76,59.7,30.79,53.01,1.83
12,Axim,1,GH,1563144076,86,4.87,-2.24,74.74,8.39
13,Barrow,100,AR,1563144076,65,-38.31,-60.23,50.08,11.74
14,Rabo de Peixe,20,PT,1563144076,77,37.8,-25.58,69.8,10.29
15,Hasaki,75,JP,1563143946,94,35.73,140.83,68.0,10.29
16,Belmonte,0,PT,1563144077,87,40.36,-7.35,62.01,2.82
17,Busselton,38,AU,1563144077,69,-33.64,115.35,48.99,20.24
18,Atbasar,0,KZ,1563144077,59,51.81,68.36,63.58,9.78
19,Yellowknife,40,CA,1563143939,35,62.45,-114.38,71.6,6.93
20,Qaanaaq,85,GL,1563144078,72,77.48,-69.36,43.42,11.03
21,Mar del Plata,21,AR,1563144078,74,-46.43,-67.52,40.54,6.4
22,Upernavik,4,GL,1563144079,70,72.79,-56.15,45.04,9.89
23,Atuona,8,PF,1563144079,75,-9.8,-139.03,80.86,15.61
24,Nkhotakota,12,MW,1563144079,85,-12.93,34.3,55.84,5.23
25,Vaini,72,IN,1563144080,90,15.34,74.49,76.36,1.41
26,Bambous Virieux,75,MU,1563144080,88,-20.34,57.76,66.2,4.7
27,Husavik,85,CA,1563143968,47,50.56,-96.99,86.0,8.01
28,Shar,96,NG,1563144080,97,7.3,8.73,72.76,11.32
29,Byron Bay,0,AU,1563144081,50,-28.65,153.62,55.0,21.92
30,Longyearbyen,40,NO,1563144081,81,78.22,15.63,42.8,8.05
31,Lebu,75,ET,1563144081,93,8.96,38.73,57.2,2.24
32,Phan Thiet,97,VN,1563144082,79,10.93,108.1,79.06,7.54
33,Novikovo,0,RU,1563144082,76,51.15,37.89,54.4,2.66
34,Vostok,100,RU,1563144082,93,46.45,135.83,59.8,4.0
35,Yar-Sale,30,RU,1563144083,86,66.83,70.83,67.36,6.2
36,Tasiilaq,100,GL,1563144083,81,65.61,-37.64,42.8,9.17
37,Pangnirtung,100,CA,1563144084,45,66.15,-65.72,53.5,5.06
38,Rivne,31,UA,1563144084,99,50.62,26.25,52.0,5.17
39,Carnarvon,0,ZA,1563144084,26,-30.97,22.13,50.44,4.97
40,Cayenne,20,GF,1563144084,83,4.94,-52.33,80.6,5.82
41,Guerrero Negro,0,MX,1563144085,83,27.97,-114.04,69.52,12.97
42,Yucaipa,1,US,1563144085,22,34.03,-117.04,102.2,12.75
43,Kaitangata,64,NZ,1563144085,77,-46.28,169.85,39.99,4.0
44,Bilma,18,NE,1563144086,15,18.69,12.92,92.92,4.68
45,Hermanus,8,ZA,1563144086,98,-34.42,19.24,52.0,16.11
46,Japura,90,ID,1563144086,98,-0.42,102.29,72.4,1.83
47,Severo-Kurilsk,93,RU,1563144087,97,50.68,156.12,44.14,11.9
48,Albany,40,US,1563144000,42,42.65,-73.75,82.4,23.04
49,Leningradskiy,98,RU,1563144087,95,69.38,178.42,37.3,10.38
50,Vieques,40,PR,1563144088,74,18.43,-65.83,84.2,18.34
51,Zhigansk,33,RU,1563144088,40,66.77,123.37,62.14,18.34
52,Mahebourg,75,MU,1563144088,88,-20.41,57.7,66.2,4.7
53,Kavaratti,100,IN,1563144089,75,10.57,72.64,82.84,15.88
54,Guanica,40,PR,1563144089,94,17.97,-66.91,81.0,6.93
55,Swan River,68,CA,1563144089,89,52.11,-101.27,70.42,1.72
56,Port Hawkesbury,90,CA,1563144089,88,45.62,-61.36,66.99,4.7
57,Maumere,68,ID,1563144090,65,-8.63,122.22,76.54,6.02
58,Carbonia,40,IT,1563144090,83,39.17,8.53,75.99,1.12
59,Tual,87,ID,1563143948,82,-5.67,132.75,77.8,22.26
60,Verkhnevilyuysk,74,RU,1563144090,57,63.45,120.31,67.18,6.89
61,Tuktoyaktuk,75,CA,1563144091,63,69.44,-133.03,62.6,8.05
62,Blackwater,26,GB,1563144091,72,51.33,-0.78,62.01,8.05
63,Klaksvik,99,FO,1563144091,100,62.23,-6.59,51.8,6.93
64,Stuttgart,75,DE,1563143804,72,48.78,9.18,60.01,8.05
65,Key Largo,1,US,1563144038,74,25.09,-80.45,88.0,9.17
66,Havre-Saint-Pierre,90,CA,1563144092,100,50.23,-63.6,55.4,13.87
67,Misratah,0,LY,1563143995,57,32.38,15.09,85.0,14.85
68,Bluff,93,AU,1563144093,39,-23.58,149.07,54.4,2.1
69,Skjervoy,100,NO,1563144093,74,70.03,20.97,47.92,2.46
70,Vila Velha,0,BR,1563144094,74,-3.71,-38.6,86.0,5.82
71,Akdepe,0,TM,1563144094,40,42.05,59.39,89.6,9.17
72,Cap Malheureux,75,MU,1563144094,88,-19.98,57.61,66.2,4.7
73,Khatanga,74,RU,1563144095,53,71.98,102.47,53.68,11.36
74,San Patricio,100,PY,1563144095,96,-26.98,-56.83,62.14,7.34
75,Semnan,40,IR,1563144095,15,35.58,53.39,93.2,4.7
76,Beira,0,ES,1563144096,88,43.2,-8.36,66.99,2.24
77,Lorengau,82,PG,1563144096,75,-2.02,147.27,82.48,8.3
78,Patiya,100,BD,1563144096,85,22.3,91.98,82.84,23.29
79,Cortez,75,US,1563144096,24,37.35,-108.58,93.2,8.05
80,Thompson,75,CA,1563143881,56,55.74,-97.86,69.8,2.24
81,Svetlogorsk,75,RU,1563144097,72,53.14,59.15,66.2,6.71
82,Saldanha,0,PT,1563144097,65,41.42,-6.55,70.6,2.77
83,Yulara,0,AU,1563144098,69,-25.24,130.99,39.2,6.93
84,Codajas,83,BR,1563144098,87,-3.84,-62.06,75.46,2.04
85,Lompoc,1,US,1563144098,68,34.64,-120.46,82.0,17.22
86,Katsuura,75,JP,1563144099,83,33.93,134.5,75.2,6.93
87,Khawhai,100,IN,1563144099,98,23.52,93.19,67.54,3.4
88,Saint-Philippe,75,CA,1563144099,50,45.36,-73.48,77.0,12.75
89,Rio Branco,20,BR,1563144099,66,-9.98,-67.82,86.0,2.24
90,Georgetown,20,GY,1563144100,74,6.8,-58.16,84.2,9.17
91,Hithadhoo,57,MV,1563144100,70,-0.6,73.08,83.02,4.61
92,Kijang,75,KR,1563144087,78,35.24,129.21,73.4,5.82
93,Chuy,0,UY,1563144101,86,-33.69,-53.46,48.1,7.81
94,Ponta do Sol,22,BR,1563144101,62,-20.63,-46.0,63.94,1.77
95,Colac,70,AU,1563144101,99,-38.34,143.59,46.0,4.5
96,Alice Springs,0,AU,1563144102,50,-23.7,133.88,32.0,6.93
97,Prince Rupert,75,CA,1563144102,77,54.32,-130.32,64.4,6.93
98,Thyboron,26,DK,1563144103,86,56.7,8.21,55.99,7.0
99,Kruisfontein,9,ZA,1563144103,88,-34.0,24.73,48.28,4.16
100,Faya,0,SA,1563144103,37,18.39,42.45,82.4,9.17
101,Lagunas,29,PE,1563144104,95,-5.23,-75.68,74.56,2.62
102,Buala,97,SB,1563144104,73,-8.15,159.59,81.22,2.59
103,Jamestown,44,AU,1563144104,83,-33.21,138.6,49.18,10.04
104,Katherine,28,AU,1563144104,30,-14.47,132.26,59.0,9.17
105,Tabou,1,CI,1563144105,86,4.42,-7.36,70.42,1.59
106,Avarua,41,CK,1563143970,60,-21.21,-159.78,75.2,8.05
107,Te Anau,38,NZ,1563144105,72,-45.41,167.72,41.26,4.12
108,Port Blair,100,IN,1563144082,78,11.67,92.75,84.28,17.72
109,Port Alfred,0,ZA,1563144106,91,-33.59,26.89,60.01,1.99
110,Kedrovyy,0,RU,1563144106,82,56.17,91.82,55.4,4.47
111,Kavieng,99,PG,1563144107,80,-2.57,150.8,80.32,4.59
112,Belaya Gora,36,RU,1563144107,63,68.54,146.19,58.18,10.96
113,Harper,40,US,1563144107,39,30.3,-99.24,96.8,5.82
114,Sao Filipe,26,CV,1563144107,87,14.9,-24.5,74.38,12.44
115,Viedma,70,AR,1563144108,58,-40.81,-62.99,47.02,8.55
116,Padang,86,ID,1563144109,73,-0.92,100.36,82.3,8.52
117,Bakel,32,SN,1563144109,50,14.9,-12.46,90.94,15.39
118,Port Elizabeth,20,US,1563144109,52,39.31,-74.98,91.0,10.29
119,Lavrentiya,94,RU,1563144110,48,65.58,-170.99,67.54,7.78
120,Grants,90,US,1563144110,68,35.15,-107.85,69.8,4.7
121,Talnakh,100,RU,1563144110,93,69.49,88.39,53.6,6.71
122,Aden,21,YE,1563144111,45,12.79,45.03,89.68,5.28
123,Hailar,100,CN,1563144111,67,49.2,119.7,70.6,3.06
124,East London,0,ZA,1563144111,84,-33.02,27.91,52.78,3.53
125,Victoria,75,BN,1563144111,94,5.28,115.24,77.0,1.12
126,Mukhen,79,RU,1563144112,63,48.19,136.14,73.84,3.76
127,Rincon,75,PA,1563144112,88,8.46,-82.28,78.8,2.24
128,Hamilton,40,CA,1563143991,44,43.26,-79.87,81.0,9.17
129,Lusambo,2,CD,1563144113,55,-4.97,23.44,70.96,1.61
130,Banes,75,CU,1563144113,52,20.96,-75.72,89.6,18.34
131,Caohai,100,CN,1563144113,94,26.87,104.28,58.18,2.04
132,Filingue,84,NE,1563144114,43,14.35,3.32,88.06,16.6
133,Puerto Ayora,20,EC,1563144114,61,-0.74,-90.35,78.8,20.8
134,Normandin,75,CA,1563144114,63,48.84,-72.53,66.2,18.34
135,Caconda,0,AO,1563144114,40,-13.73,15.06,53.32,3.53
136,Hilo,90,US,1563144115,58,19.71,-155.08,84.2,9.17
137,Emba,40,CY,1563144115,78,34.81,32.42,77.0,9.17
138,Nuuk,5,GL,1563144116,42,64.17,-51.74,62.6,4.7
139,Kodiak,40,US,1563144116,13,39.95,-94.76,93.2,8.05
140,Sundargarh,45,IN,1563144116,75,22.12,84.04,81.4,7.63
141,Bull Savanna,8,JM,1563144116,76,17.89,-77.59,83.92,7.38
142,Tommot,0,RU,1563144117,65,58.97,126.27,75.1,0.96
143,Payo,49,ID,1563144117,93,-3.75,103.64,65.02,3.69
144,Villa Sandino,40,NI,1563144117,66,12.05,-84.99,84.2,4.7
